Game Number,Day,Play,Visitor Team,Visitor Score,Home Team,Home Score,Overtime,Shutout
652,126,True,11,1,15,3,False,False
653,126,True,8,2,16,3,True,False
654,126,True,12,1,24,2,False,False
655,127,True,14,1,9,3,False,False
656,127,True,5,5,18,6,True,False
657,127,True,17,2,19,4,False,False
658,127,True,15,0,23,5,False,False
659,127,True,22,1,1,2,True,True
660,128,True,21,2,11,3,False,False
661,128,True,20,1,4,4,False,False
662,128,True,7,1,8,3,False,False
663,128,True,6,2,12,1,False,False
664,129,True,9,0,5,1,False,False
665,129,True,22,2,2,1,False,False
666,129,True,10,4,20,3,True,False
667,129,True,19,1,3,0,False,False
668,129,True,14,2,6,1,False,False
669,129,True,1,2,13,1,False,False
670,130,True,8,3,7,2,False,False
671,130,True,12,2,14,0,False,False
672,130,True,4,2,10,1,False,False
673,130,True,23,3,17,4,True,False
674,130,True,15,5,21,1,False,False
675,130,True,18,4,16,2,False,False
676,131,True,3,2,24,3,True,True
677,131,True,5,3,22,1,False,False
678,131,True,19,5,15,3,False,False
679,131,True,13,5,11,3,False,False
680,131,True,18,4,9,2,False,False
681,132,True,17,4,23,3,False,False
682,132,True,4,1,1,3,False,False
683,132,True,7,5,19,0,False,False
684,132,True,6,2,2,5,False,False
685,132,True,12,2,8,5,False,False
686,132,True,16,3,20,5,False,False
687,133,True,21,3,18,4,True,False
688,133,True,11,4,5,3,True,False
689,133,True,22,1,4,0,False,False
690,133,True,10,3,12,2,False,False
691,133,True,14,3,3,1,False,False
692,134,True,2,2,6,1,True,False
693,134,True,23,5,13,3,False,False
694,134,True,1,5,7,1,False,False
695,134,True,16,2,14,3,False,False
696,135,True,20,2,10,6,False,False
697,135,True,9,0,17,6,False,False
698,135,True,15,1,24,4,False,False
699,135,True,22,4,21,3,False,False
700,135,True,19,3,16,2,True,False
701,135,True,5,5,11,2,False,False
702,136,True,7,3,15,1,False,False
703,136,True,1,4,18,5,True,True
704,136,True,4,3,22,0,False,False
705,136,True,3,3,9,5,False,False
706,136,True,24,2,8,1,False,False
707,136,True,13,4,23,5,False,False
708,137,True,11,3,19,2,False,False
709,137,True,10,7,12,2,False,False
710,137,True,20,5,5,3,False,False
711,137,True,6,1,2,3,False,False
712,137,True,21,3,1,2,False,False
713,137,True,8,2,4,3,False,False
714,138,True,14,2,20,0,False,False
715,138,True,23,4,3,1,False,False
716,138,True,16,5,6,4,False,False
717,138,True,13,1,7,3,False,False
718,138,True,17,3,10,4,True,True
719,139,True,5,3,14,4,False,False
720,139,True,19,4,13,5,True,False
721,139,True,21,4,24,3,True,True
722,139,True,9,1,17,2,False,False
723,139,True,22,3,15,0,False,False
724,140,True,12,1,16,4,False,False
725,140,True,11,1,18,3,False,False
726,140,True,1,1,21,2,False,False
727,140,True,7,1,22,0,False,False
728,140,True,15,4,9,1,False,False
729,141,True,23,7,2,5,False,False
730,141,True,11,3,19,4,False,False
731,141,True,4,2,8,0,False,False
732,141,True,3,3,5,2,False,False
733,141,True,6,1,20,3,False,False
734,141,True,7,3,12,4,False,False
735,142,True,13,1,1,3,False,False
736,142,True,17,0,23,5,False,False
737,142,True,16,3,4,2,True,True
738,142,True,9,0,3,2,False,False
739,142,True,14,1,6,0,True,True
740,143,True,18,4,11,2,False,False
741,143,True,2,2,10,1,False,False
742,143,True,24,2,14,3,True,False
743,143,True,21,1,7,4,False,False
744,144,True,1,7,13,1,False,False
745,144,True,5,1,17,2,False,False
746,144,True,19,1,24,6,False,False
747,144,True,23,2,15,4,False,False
748,144,True,6,0,22,1,True,False
749,145,True,3,3,21,4,False,False
750,145,True,12,5,16,2,False,False
751,145,True,2,2,18,1,True,False
752,145,True,20,1,8,3,False,False
753,145,True,11,2,9,1,True,False
754,145,True,1,3,19,4,False,False
755,146,True,15,2,4,5,False,False
756,146,True,22,1,5,2,False,False
757,146,True,3,1,23,3,False,False
758,146,True,13,3,2,2,False,False
759,146,True,10,4,20,0,False,False
760,146,True,16,2,12,1,True,True
761,147,True,21,0,11,2,False,False
762,147,True,9,3,1,1,False,False
